position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
ABOGADO,PROGRAMA NACIONAL CUNA MAS,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1296,1,"S/. 3,814.19",20/12/2024,03/01/2025,d63759f6-fbdf-40b8-816d-31834a80a46a
ASISTENTE ADMINISTRATIVO II,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-069,1,"S/. 2,200.00",19/12/2024,02/01/2025,4b9cd176-960a-4649-a067-fc9d91c5a767
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,276-89,1,"S/. 2,321.65",16/12/2024,30/12/2024,bb39cdaf-e4e4-40ec-a959-c5c69ace261f
INSPECTORES DE TRANSPORTE,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-040,20,"S/. 2,000.00",13/12/2024,27/12/2024,688c7180-9d8b-48a9-9da5-6074742b16be
ESPECIALISTA JUDICIAL DE AUDIENCIAS,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-063,1,"S/. 2,972.00",11/12/2024,24/12/2024,095ef7cc-4270-4042-aa25-7e2fd7ba30ad
AUXILIAR ADMINISTRATIVO,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-063,1,"S/. 2,212.00",11/12/2024,24/12/2024,64e8ed68-d101-4b10-b807-1ac5f731906f
ABOGADO I,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-063,1,"S/. 2,972.00",11/12/2024,24/12/2024,37b0ff02-18e4-4a2b-b5cf-1abfe695cdae
ESPECIALISTA EN CALIDAD ATS,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-068,1,"S/. 2,700.00",11/12/2024,24/12/2024,d9d3014f-398f-4a81-9f9b-28bd9beda344
ASISTENTE JURISDICCIONAL,UNIDAD EJECUTORA DE LA CORTE SUPERIOR DE JUSTICIA DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-063,1,"S/. 2,572.00",11/12/2024,24/12/2024,20eb4c89-18e4-4b46-a2e4-be2a6158fd8d
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE CUIDADO DIURNO,PROGRAMA NACIONAL CUNA MAS,ICA - ICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1313,1,"S/. 2,614.19",20/12/2024,03/01/2025,d4920278-4df6-4c75-9969-f9957f940e71
