position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
ASISTENTE ADMINISTRATIVO EN EL AREA DE TURISMO,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,500.00",12/12/2024,26/12/2024,0464bac0-a064-42c1-bd5f-b02e095c29de
ASISTENTE ADMINISTRATIVO DE ALCALDIA,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,800.00",12/12/2024,26/12/2024,db0cfdfd-9a6c-44cf-91c1-b81bb8793125
ASISTENTE DE CONTRATACION DE BIENES Y SERVICIOS,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,800.00",12/12/2024,26/12/2024,281e6fa5-01f7-4aac-8ae1-5b3ab26897bd
OPERADOR DE LIMPIEZA,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,200.00",12/12/2024,26/12/2024,ef9d3e52-51ed-4aed-99c3-d3fda923da6f
OPERADOR DE MANTENIMIENTO,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 1,200.00",12/12/2024,26/12/2024,c80e753b-fdd2-49eb-96fa-169598ec1189
ASISTENTE ADMINISTRATIVO EN TESORERIA,MUNICIPALIDAD DISTRITAL DE HUANCAS,AMAZONAS - HUANCAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-003,1,"S/. 2,000.00",12/12/2024,26/12/2024,6908f536-16c7-4ec5-8abc-d757b0e86b10
ABOGADO,PROGRAMA NACIONAL CUNA MAS,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1296,1,"S/. 3,814.19",20/12/2024,03/01/2025,b133229d-e093-459e-8eaf-3d5ebf51aa25
ASISTENTE ADMINISTRATIVO II,CORPORACION PERUANA DE AEROPUERTOS Y AVIACION COMERCIAL SOCIEDAD ANONIMA - CORPAC S.A.,CALLAO - CALLAO,728-069,1,"S/. 2,200.00",19/12/2024,02/01/2025,3acc6a4d-f708-4d5c-a58b-d5744d053623
TRABAJADOR DE SERVICIO,UNIDAD DE GESTION EDUCATIVA LOCAL- VENTANILLA,CALLAO - VENTANILLA,276-89,1,"S/. 2,321.65",16/12/2024,30/12/2024,2f0c8408-b15d-4891-8c67-af836d5a908a
INSPECTORES DE TRANSPORTE,MUNICIPALIDAD PROVINCIAL DEL CALLAO,CALLAO - CALLAO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-040,20,"S/. 2,000.00",13/12/2024,27/12/2024,00d8d5ed-d87a-4512-aad2-173b0b07b6b2
