position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
PERSONAL DE SEGURIDAD Y VIGILANCIA,DIRECCION REGIONAL DE SALUD APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-009,1,"S/. 1,514.19",25/11/2024,06/12/2024,4e67670b-078c-42e5-bb44-4a8522165d33
PROFESIONAL DE SUPERVISIÓN FINANCIERA,SEGURO INTEGRAL DE SALUD,APURIMAC - ANDAHUAYLAS,728-012,1,"S/. 3,000.00",22/11/2024,05/12/2024,3e03a780-bdde-4a46-8035-bb6be560a035
PSICOLOGO,DIRECCION REGIONAL DE SALUD APURIMAC,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 2,920.00",20/11/2024,03/12/2024,b25101bd-3da6-4b25-a86e-8f4bbf4f496e
SERENAZGO MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-035,56,"S/. 1,500.00",20/11/2024,03/12/2024,e3c9ba02-e272-46f4-aca2-66ef757a2691
LICENCIADO(A) EN ENFERMERÍA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 6,468.00",19/11/2024,02/12/2024,8a8fcc5a-4a32-406b-82eb-e41eb6003d5a
MEDICO,DIRECCION DE SALUD APURIMAC II,APURIMAC - HUANCARAY,D.LEG 1057 - INDETERMINADO-007,1,"S/. 5,200.00",19/11/2024,02/12/2024,4757eee9-0f3d-451b-b85a-06a33b529182
BIOLOGO,DIRECCION DE SALUD APURIMAC II,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - INDETERMINADO-007,1,"S/. 2,900.00",19/11/2024,02/12/2024,db798f8a-ebd7-44e9-8c7f-8cc263fe27b6
BIOLOGO,DIRECCION DE SALUD APURIMAC II,APURIMAC - KAQUIABAMBA,D.LEG 1057 - INDETERMINADO-007,1,"S/. 2,900.00",19/11/2024,02/12/2024,09018495-5740-4b0a-9e52-4369abd53fd3
ENFERMERA/O,DIRECCION DE SALUD APURIMAC II,APURIMAC - PAMPACHIRI,D.LEG 1057 - INDETERMINADO-007,1,"S/. 2,900.00",19/11/2024,02/12/2024,4067c699-b902-4cfe-bebe-a77ab06c548d
LICENCIADO(A) EN ENFERMERIA-REFERENCIA Y CONTRAREFERENCIA - TELESALUD.,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 6,030.00",19/11/2024,02/12/2024,9872f7c4-ccbe-4cd1-a407-cba5ad3835e6
MEDICO FAMILIAR,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 8,334.00",19/11/2024,02/12/2024,9e56d320-4812-4118-8437-ca485d6d0672
MÉDICO CIRUJANO GENERAL,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,2,"S/. 8,334.00",19/11/2024,02/12/2024,4bfa2542-35a7-494a-be8b-6f9fdab48095
PROFESIONAL PSICOLOGO(A),RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 6,493.00",19/11/2024,02/12/2024,e97a9aed-4565-4f1e-86c9-d9055e3a6a57
PROFESIONAL TECNÓLOGO MÉDICO EN LAB. CLINICO Y ANATOMIA PATOLOGICA / BIÓLOGO,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 6,468.00",19/11/2024,02/12/2024,7e5c7d80-1be7-40db-9adb-dbbbc86e4f4d
TECNICO EN ENFERMERIA,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 3,506.00",19/11/2024,02/12/2024,8b2d5bf8-d45b-4991-8929-b60c0fcf0eae
TECNICO EN ENFERMERIA/(CAJA/ADMISION),RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,3,"S/. 3,165.00",19/11/2024,02/12/2024,58e91f5a-d89f-4ccc-a68c-542e18b550dd
TECNICO EN LABORATORIO,RED DE SALUD AYMARAES,APURIMAC - CHALHUANCA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 3,506.00",19/11/2024,02/12/2024,f8c05bd2-a915-4da9-ba65-d61cab579d5a
ESPECIALISTA ADMINISTRATIVO I,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ABANCAY,APURIMAC - ABANCAY,276-006,1,"S/. 1,600.00",18/11/2024,29/11/2024,c6299c33-bfe5-4569-a5e8-5733d0be4f5f
ABOGADO CERTIFICADOR,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-35,1,"S/. 3,000.00",18/11/2024,29/11/2024,28f03e7e-3825-4829-b6b5-c00fc996486a
ANALISTA REGISTRAL,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-34,1,"S/. 3,000.00",18/11/2024,29/11/2024,be148eb0-72d6-4717-a407-d326c79ef98a
ABOGADOR CERTIFICADOR,ZONA REGISTRAL N X SEDE CUSCO,APURIMAC - CHALLHUAHUACHO,D.LEG 1057 - DETERMINADO (SUPLENCIA)-33,1,"S/. 3,000.00",18/11/2024,29/11/2024,dfe69f68-7268-4a2a-afcc-926dce3e8742
AUXILIAR ADMINISTRATIVO,MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,APURIMAC - ANTABAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-946,1,"S/. 2,114.19",18/11/2024,29/11/2024,86edb05d-68b7-43fc-b85a-c8518767cb91
TRABAJADOR DE SERVICIO,UNIDAD DE GESTIÓN EDUCATIVA LOCAL DE ABANCAY,APURIMAC - ABANCAY,276-005,1,"S/. 1,600.00",14/11/2024,27/11/2024,44260fbf-4c9c-4611-813f-2cb87b7190f2
ESPECIALISTA JUDICIAL DE JUZGADO,PODER JUDICIAL,APURIMAC - COTABAMBAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,972.00",14/11/2024,27/11/2024,d20ae691-c88d-4e5f-9a5c-35eb951a4c4e
ASISTENTE DE COMUNICACIONES,PODER JUDICIAL,APURIMAC - CHINCHEROS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,212.00",14/11/2024,27/11/2024,63c74f08-e598-420c-8a4e-7e0b092ce6eb
ESPECIALISTA LEGAL EN MODULO PENAL,PODER JUDICIAL,APURIMAC - ANDAHUAYLAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,1,"S/. 2,972.00",14/11/2024,27/11/2024,360cc242-774f-4102-afa7-591d5b8464c1
SERENAZGO MUNICIPAL,MUNICIPALIDAD PROVINCIAL DE ABANCAY,APURIMAC - ABANCAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-032,6,"S/. 1,500.00",13/11/2024,26/11/2024,c71272b3-7640-474d-bd0c-5d248ba4b533
