position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
ASISTENTE TECNICO,GERENCIA SUB REGIONAL ACOBAMBA,HUANCAVELICA - ACOBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-11,1,"S/. 1,314.19",25/10/2024,08/11/2024,5afa1fca-e18d-4069-b489-9fb8901a3a03
ESPECIALISTA LEGAL II,SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-234,1,"S/. 4,000.00",25/10/2024,08/11/2024,7b7e465d-5778-4d49-bfd5-ca38184cdb11
SERENO CONDUCTOR I,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,700.00",24/10/2024,07/11/2024,3c17e357-1369-49c3-908c-a7c9adfd7177
SERENO  MOTORIZADO I,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,500.00",24/10/2024,07/11/2024,6048edd3-ed8b-4745-aced-df8817697ede
SERENO  CONDUCTOR II,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,700.00",24/10/2024,07/11/2024,df4e2523-8a42-43dc-924f-a62b97abaa5f
SECRETARIA II,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,700.00",24/10/2024,07/11/2024,0849010a-0286-4183-b089-94acfa727225
CONDUCTOR MOTORIZADO I,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,500.00",24/10/2024,07/11/2024,72f39e95-08f6-4b24-b6b1-3fcd788c6ce7
ANALISTA EN CONTRATACIONES,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,600.00",24/10/2024,07/11/2024,8363ee19-56ec-4852-8939-3b68605fe33d
ASISTENTE ADMINISTRATIVO,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,800.00",24/10/2024,07/11/2024,4ea70332-d9a8-41b2-b985-687d28016406
CONDUCTOR MOTORIZADO II,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,500.00",24/10/2024,07/11/2024,10fa1fc2-66f5-4359-ab5f-227b72d325f6
ESPECIALISTA EN ADQUISICIONES,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,500.00",24/10/2024,07/11/2024,0d2f896b-70dc-481e-bd43-0e67231419db
SECRETARIA I,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,700.00",24/10/2024,07/11/2024,d3d65ada-b1a8-4f8d-b8b4-e6e1e867a091
SERENO III,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,500.00",24/10/2024,07/11/2024,c0e1ecc8-296d-4945-b67e-085838145968
SERENO MOTORIZADO II,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,500.00",24/10/2024,07/11/2024,1aa81e47-767c-42fd-9f1a-28994448317e
RESPONSABLE DE CANTERAS,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,800.00",24/10/2024,07/11/2024,97ac97b5-6aad-452b-bbc4-b124f177d9e7
RESPONSABLE DE ARTESANÍA Y TURISMO,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,000.00",24/10/2024,07/11/2024,92f107f9-6c62-4b7a-9784-07ff5db9160e
AUXILIAR COACTIVO,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,700.00",24/10/2024,07/11/2024,dee7c6d4-2151-47b7-8daf-143f99307357
ASISTENTE EN COMUNICACIÓN AUDIOVISUAL E IMAGEN INSTITUCIONAL,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,900.00",24/10/2024,07/11/2024,b8adbf6c-c189-46b8-a161-79dd4202e19b
ESPECIALISTA EN RECURSOS HUMANOS,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,600.00",24/10/2024,07/11/2024,81024069-5973-4d5b-831a-82bb7fc24744
OPERADOR DE MAQUINARIA PESADA I,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 1,900.00",24/10/2024,07/11/2024,f96407e7-6af0-4d11-b158-9fdeddc712f2
ASISTENTE TÉCNICO DE PLANEAMIENTO Y CATASTRO,MUNICIPALIDAD DISTRITAL DE ASCENSIÓN,HUANCAVELICA - ASCENSION,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-007,1,"S/. 2,500.00",24/10/2024,07/11/2024,358422b9-821c-4ca1-9fcc-f183a793a809
TECNICO ADMINISTRATIVO RED TELEMATICA (AIRSHP CODIGO 000945),GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-19,1,"S/. 2,200.00",23/10/2024,06/11/2024,927febe6-0481-407b-91ee-f44121483a1a
SOPORTE TÉCNICO III (CODIGO AIRHSP - 00869),GOBIERNO REGIONAL DE HUANCAVELICA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-19,1,"S/. 2,000.00",23/10/2024,06/11/2024,f0b57b36-70e3-4037-982c-d865bd56a9d3
ASISTENTE ADMINISTRATIVO - AUXILIAR II,ORGANISMO DE EVALUACION Y FISCALIZACION AMBIENTAL - OEFA,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-107,1,"S/. 2,500.00",22/10/2024,05/11/2024,a2d57a0c-d40b-41e4-bdc1-322a58eadf7d
ASISTENTE DE ATENCIÓN AL CIUDADANO - ORI HUANCAVELICA,INDECOPI,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-230,1,"S/. 2,000.00",22/10/2024,05/11/2024,00fa7c96-8b74-41f3-8fc0-31099b2e2567
ACOMPAÑANTE TECNICO PARA EL SERVICIO DE ACOMPAÑAMIENTO A FAMILIAS,PROGRAMA NACIONAL CUNA MAS,HUANCAVELICA - HUANCAVELICA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1187,1,"S/. 2,814.19",21/10/2024,04/11/2024,7b8b0ff9-538f-4676-99d2-d2e0f4b63820
