position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
UN/A (01) ABOGADO/A COMUNITARIO/A PARA SERVICIO DE ATENCION  RURAL RIO SANTIAGO- AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - RIO SANTIAGO,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-008,1,"S/. 4,500.00",14/02/2025,27/02/2025,d2af18df-c647-4713-a1bb-f0413e1a4ca7
ESPECIALISTA EN PROCESOS ADMINISTRATIVOS DISCIPLINARIOS DE DOCENTES Y ADMINISTRATIVOS,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-8,1,"S/. 2,504.19",14/02/2025,27/02/2025,209c3d56-35a1-4ef1-8384-332ea43089be
UN/A (01) PROFESIONAL COMUNITARIO/A SERVICIO DE ATENCION RURAL  (SAR) – IMAZA - AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - IMAZA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-020,1,"S/. 4,500.00",14/02/2025,27/02/2025,4b865487-6fde-4e88-a104-34858dbadf73
UN/A (01) TRABAJADOR/A SOCIAL PARA CEM CHACHAPOYAS - AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-042,1,"S/. 4,000.00",14/02/2025,27/02/2025,49b08912-6b45-4159-af57-2a0f9f845367
TRABAJADOR DE SERVICIO III,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-7,2,"S/. 2,000.00",13/02/2025,26/02/2025,4297fdad-2149-4fdc-9fdc-64738de58e08
TÉCNICO ADMINISTRATIVO II,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-7,1,"S/. 2,000.00",13/02/2025,26/02/2025,985dfc18-9e69-4a56-9863-339116e793f5
ASISTENTE ADMINISTRATIVO DE ALCALDIA,MUNICIPALIDAD DISTRITAL DE MAGDALENA,AMAZONAS - MAGDALENA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-001,1,"S/. 1,500.00",13/02/2025,26/02/2025,df9ab29c-e20a-47b4-865c-d4ca011e1cdf
ESPECIALISTA  EN GESTION DOCUMENTARIA,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,700.00",13/02/2025,26/02/2025,4d779f88-fce1-46ef-b2ea-613b3077c8ff
ESPECIALISTA EN GESTION AMBIENTAL,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,900.00",13/02/2025,26/02/2025,d4245dd6-3d6d-4d2f-93a1-39993242cf09
ESPECIALISTA PARA EL AREA TECNICA MUNICIPAL,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,000.00",13/02/2025,26/02/2025,4696a801-b629-4c23-a91d-d76f5791ba85
TECNICO EN TESORERIA Y FINANZAS,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,500.00",13/02/2025,26/02/2025,9b71d821-2842-4198-9784-6adf5791e9c9
TRABAJADOR DE SERVICIO II,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-7,2,"S/. 2,000.00",13/02/2025,26/02/2025,16b86277-07ee-4eb2-aee5-700121f9d539
TRABAJADOR DE SERVICIO I,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,276-7,2,"S/. 2,000.00",13/02/2025,26/02/2025,a2dde1ef-a926-461c-a431-7e9c24a7cb61
ANALISTA PARA LA OFICINA DE INFRAESTRUCTURA,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 4,000.00",13/02/2025,26/02/2025,8739be30-2af4-42f2-9c70-7e989d37bea6
AUXILIAR ADMINISTRATIVO PARA EL AREA DE TURISMO,MUNICIPALIDAD DISTRITAL DE LEIMEBAMBA,AMAZONAS - LEIMEBAMBA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,200.00",13/02/2025,26/02/2025,c95521d3-7bc2-4b0a-96cd-cddbcd32fe92
CHOFER,MUNICIPALIDAD DIST. DE MARIA,AMAZONAS - MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,500.00",12/02/2025,25/02/2025,77bdc62c-3cf8-4b1e-9b54-24a3c0a08ec2
ANALISTA DE ÁREA TÉCNICA MUNICIPAL.,MUNICIPALIDAD DIST. DE MARIA,AMAZONAS - MARIA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,500.00",12/02/2025,25/02/2025,7bcec783-633d-4dd2-bfc3-8ec52859e019
ESPECIALISTA EN SOCIOECOLOGÍA EN COMUNIDADES INDÍGENAS AMAZÓNICAS.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-04,1,"S/. 8,000.00",11/02/2025,24/02/2025,344cfbe2-3f78-4e45-9b9c-310468c82749
INSPECTOR/A UD,"SUPERINTENDENCIA DE TRANSPORTE TERRESTRE DE PERSONAS, CARGA Y MERCANCIAS - SUTRAN",AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-026,1,"S/. 3,000.00",11/02/2025,24/02/2025,77651d4b-ec5d-437f-80b2-95f07d6280c3
AUXILIAR DE ARTICULACIÓN TERRITORIAL EN DISCAPACIDAD- REGION AMAZONAS,C.N.DE INTEGR.D.L.PERS.CON DISC.-CONADIS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-004,1,"S/. 2,000.00",11/02/2025,24/02/2025,453b0caf-b69c-4bf5-9d0c-deb38a7963af
TÉCNICO DE SERVICIOS.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,728-01,1,"S/. 1,392.11",10/02/2025,21/02/2025,da9d496d-282a-45dc-b89c-ad0eec166b2c
TÉCNICO DE SERVICIO.,INSTITUTO DE INVESTIGACIONES DE LA AMAZONIA PERUANA,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-13,1,"S/. 1,464.19",10/02/2025,21/02/2025,86339699-7430-48b1-8f64-1bed32da82fc
TECNICO DEPORTIVO CAS DE NÚCLEO DE LA INICIATIVA PEDAGÓGICA WIÑAQ,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-6,1,"S/. 3,364.19",10/02/2025,21/02/2025,50bb8271-0dd8-4282-bb49-2a70e517ac91
COORDINADOR TECNICO ZONAL PARA LA UNIDAD TERRITORIAL AMAZONAS BAGUA - SUPLENCIA,PROGRAMA NACIONAL DE APOYO DIRECTO A LOS MAS POBRES,AMAZONAS - BAGUA,D.LEG 1057 - DETERMINADO (SUPLENCIA)-033,1,"S/. 3,500.00",10/02/2025,21/02/2025,8171203c-213a-40b2-ac1e-971e58d26a34
PROFESIONAL NO DOCENTE PARA EL SOPORTE Y ASESORAMIENTO A IIEE INCLUSIVAS,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - JAZAN,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,964.19",07/02/2025,20/02/2025,fb99e79a-7b1f-40ea-8e23-3c3aee9eb79a
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,23,"S/. 1,614.19",07/02/2025,20/02/2025,01007318-be22-43f1-a2c8-b87f4b1edf0b
ESPECIALISTA DE CALIDAD DEL SERVICIO EDUCATIVO SUPERIOR TECNOLOGICO,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,164.19",07/02/2025,20/02/2025,8c3c45a0-f760-435d-96d9-6f2abb34d146
ESPECIALISTA EN CONVIVENCIA ESCOLAR REGIONAL,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 4,064.19",07/02/2025,20/02/2025,b56449e4-93b3-47bd-95db-febccd24ca2d
ESPECIALISTA EN CONVIVENCIA ESCOLAR UGEL,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,4,"S/. 3,764.19",07/02/2025,20/02/2025,a31dadc5-2097-4787-ab3f-0bdb276ada47
PERSONAL DE MANTENIMIENTO,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,11,"S/. 1,414.19",07/02/2025,20/02/2025,fdacc225-73e7-40d1-a5d3-9c61f4bd07ca
PERSONAL DE VIGILANCIA - JEC,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,11,"S/. 1,414.19",07/02/2025,20/02/2025,59f2df39-0b60-4e5e-89a8-a19bd002cc3d
PROFESIONAL DOCENTE ESPECIALISTA EN DISCAPACIDAD VISUAL Y SORDOCEGUERA PARA EL CENTRO DE RECURSOS DE EDUCACIÓN BÁSICA REGULAR - CREBE,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 2,864.19",07/02/2025,20/02/2025,7761d98a-f97a-486f-bb19-b6bf19dce253
PROFESIONAL EN PSICOLOGÍA,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,2,"S/. 2,764.19",07/02/2025,20/02/2025,d65eac50-0c40-40dd-9b59-c590638a182a
PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA PARA LOS PROGRAMAS DE INTERVENCIÓN TEMPRANA,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,2,"S/. 2,964.19",07/02/2025,20/02/2025,eec77e21-a21c-4cd0-ae08-e97cbf3c0c31
"PROFESIONAL EN TECNOLOGÍA MÉDICA CON MENCIÓN EN TERAPIA FÍSICA, OCUPACIONAL O DE LENGUAJE PARA CEBE",DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,4,"S/. 2,964.19",07/02/2025,20/02/2025,5022274c-08d2-4a89-a41f-bcde0a4e26fa
PROFESIONAL III PARA EQUIPO ITINERANTE DE CONVIVENCIA ESCOLAR,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,4,"S/. 3,064.19",07/02/2025,20/02/2025,4cd71320-718f-4982-ace3-35bdfeacbf25
PSICÓLOGO (A),DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,24,"S/. 2,764.19",07/02/2025,20/02/2025,e48926e4-d36c-47af-a3a3-724d027f6fa0
TÉCNICO DEPORTIVO CAS DE NÚCLEO DE LA INICIATIVA PEDAGÓGICA WIÑAQ,DIREC.REGIONAL DE EDUCAC. AMAZONAS-CHACH,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 3,364.19",07/02/2025,20/02/2025,9472e066-8e5e-4a91-8f6b-09ccdab1f5e9
COORDINADOR (A) DE INNOVACIÓN Y SOPORTE TECNOLÓGICO,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,15,"S/. 1,614.19",07/02/2025,20/02/2025,65cd5250-4a97-490a-ba3d-937f4b7a2592
PERSONAL DE LIMPIEZA Y MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-3,11,"S/. 1,414.19",07/02/2025,20/02/2025,bfd5e566-2e5f-4840-a73c-1cf0c5af2944
PERSONAL DE MANTENIMIENTO,UNIDAD DE GESTION EDUCATIVA LOCAL DE UTCUBAMBA - UGEL-UTCUBAMBA,AMAZONAS - BAGUA GRANDE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-2,7,"S/. 1,414.19",07/02/2025,20/02/2025,8255ae31-0637-48b2-b214-c7eb7ba9c7d4
