position,institution,ubication,num_conv,n_vac,wage,begin_date,end_date,id_uuid
UN/A COORDINADOR DE ENLACE REGIONAL EN AMAZONAS,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES (CENEPRED)",AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-109,1,"S/. 8,000.00",31/10/2024,14/11/2024,850d192e-409d-4508-b810-992d00b0ab28
DEFENSOR PÚBLICO DE DEFENSA DE VÍCTIMAS SNEJ PARA LA DIRECCIÓN GENERAL DE DEFENSA PUBLICA Y ACCESO A LA JUSTICIA – (AMAZONAS),MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-920,1,"S/. 7,114.19",30/10/2024,13/11/2024,39388b69-9f18-474b-ab36-a33ea3a4df4f
EDUCADOR/A,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-288,1,"S/. 3,000.00",29/10/2024,12/11/2024,c54246b5-ff66-4972-9f3d-83093c5f671c
ANALISTA DE ADMISION,MINISTERIO DE LA MUJER Y POBLACIONES VULNERABLES,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-287,1,"S/. 3,000.00",29/10/2024,12/11/2024,7cc1e920-0ff6-4f05-a11b-2192a9f876d9
ASISTENTE ADMINISTRATIVO EN LA OFICINA DE REGISTRO CIVIL DEL ANEXO SAN SALVADOR,MUNICIPALIDAD DISTRIT SANTO TOMAS,AMAZONAS - SANTO TOMAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-1,1,"S/. 1,075.00",29/10/2024,12/11/2024,1f5aab07-253b-4d00-8d11-5cd7ad52c490
ASISTENTE  DE SUPERVISIÓN II,PROYECTO ESPECIAL DE INFRAESTRUCTURA DE TRANSPORTE NACIONAL - PROVIAS NACIONAL -,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-057,1,"S/. 3,500.00",28/10/2024,11/11/2024,ac4f940e-9694-4524-875c-5e28195d8d57
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD  TRANSITORIA) DE UN/A (01) ABOGADO PARA CEM CHACHAPOYAS - AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-537,1,"S/. 4,000.00",28/10/2024,11/11/2024,b172048f-bafa-4e80-9930-1ede16548b88
CONVOCATORIA PARA LA CONTRATACIÓN ADMINISTRATIVA DE SERVICIO CAS (NECESIDAD  TRANSITORIA) DE UN/A (01) ABOGADO PARA CEM COMISARIA RURAL SECTORIAL LAMUD - AMAZONAS,PROGR NAC PARA LA PREVENC Y ERRADIC DE LA VIOLENCIA CONTRA LAS MUJERES E INTEG DEL GRUP FAM-AURORA,AMAZONAS - LAMUD,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-535,1,"S/. 3,000.00",28/10/2024,11/11/2024,a77d313c-b562-4f9f-9760-a2d4125214d6
DC B1,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,"S/. 3,133.00",22/10/2024,05/11/2024,507ef056-655a-4982-ba3d-21c3ed376000
DC B1,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,"S/. 3,133.00",22/10/2024,05/11/2024,404bca04-2c1d-40e3-8865-c46cd205b407
"ARQUITECTO, CON GRADO DE MAESTRO",UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,"S/. 3,133.00",22/10/2024,05/11/2024,557234cd-d1ba-4742-a1b9-1f558cfce79d
DC B1,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,"S/. 3,133.00",22/10/2024,05/11/2024,61448339-9a6c-4d14-af5f-565373805bfd
DOCENTE DC B3,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,S/. 782.50,22/10/2024,05/11/2024,bc517286-f5f6-44cb-8df7-c61e1285434c
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-5,1,"S/. 8,869.82",22/10/2024,05/11/2024,f5574042-3463-40ef-a2f9-b1c94692a7c0
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-3,1,"S/. 8,869.82",22/10/2024,05/11/2024,04f906b5-da4c-46f0-99ed-d9ee2fe8724e
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-5,1,"S/. 8,869.82",22/10/2024,05/11/2024,56dbac3d-a5a5-452a-84de-5d5b2f4f2d29
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-5,1,"S/. 8,869.82",22/10/2024,05/11/2024,1a49691c-65fc-4756-9b25-01ffaf279824
DC B3,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-4,1,S/. 782.50,22/10/2024,05/11/2024,d86b77ca-cfda-4697-8c72-8c19a1a8b970
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-3,1,"S/. 8,869.82",22/10/2024,05/11/2024,fb45513b-35f5-40bb-8bf0-acb28479ce8e
DOCENTE TC,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,DOCENTES UNIVERSITARIOS LEY 30220-5,1,"S/. 8,869.82",22/10/2024,05/11/2024,eefdf5a1-16ae-4c60-a11f-90f3d28e3b83
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-117,1,"S/. 3,045.00",22/10/2024,05/11/2024,8f727ad9-08e3-4bd9-8ef4-7b3133643c9f
ESPECIALISTA EN PRESUPUESTO,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 3,000.00",21/10/2024,04/11/2024,7bec0740-2f83-4e6b-823b-9ec2c6da1917
CHOFER,MINISTERIO DE CULTURA,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (SUPLENCIA)-246,1,"S/. 1,914.19",21/10/2024,04/11/2024,f8ebc40d-d31f-4f1b-97c8-3066d81b7f19
SECRETARIA/O,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 1,814.19",21/10/2024,04/11/2024,d5557814-7806-4bf7-9e9d-951d2533d79e
ANALISTA EN ANP,SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP,AMAZONAS - MARISCAL CASTILLA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 4,000.00",21/10/2024,04/11/2024,0ef67d29-2c8f-49f9-a3fa-faadfd4bcf00
ANALISTA PARA ANP,SERVICIO NACIONAL DE AREAS NATURALES PROTEGIDAS POR EL ESTADO - SERNANP,AMAZONAS - NIEVA,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-10,1,"S/. 3,200.00",21/10/2024,04/11/2024,a2bc6fdf-94f1-48c0-aa5c-7bd8d0e3fdf7
APOYO ACADEMICO,UNIVERSIDAD NACIONAL TORIBIO RODRIGUEZ DE MENDOZA DE AMAZONAS,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-14,1,"S/. 1,614.19",21/10/2024,04/11/2024,6cf9a337-ded5-48a5-b9d0-4e62886e6b30
ANALISTA LEGAL,DEFENSORIA DEL PUEBLO,AMAZONAS - CHACHAPOYAS,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-90,1,"S/. 4,500.00",21/10/2024,04/11/2024,ede28193-37f7-4db7-8d9e-8cb351dcab90
TRABAJADOR DE SERVICIO II,UNIDAD DE GESTION EDUCATIVA LOCAL DE POMABAMBA,ANCASH - POMABAMBA,276-006,1,S/. 974.75,31/10/2024,14/11/2024,e7788bcf-f5a8-494c-a7a0-9c46429a0c28
ESPECIALISTA LEGAL II (SEGUNDA CONVOCATORIA),SUPERINTENDENCIA NACIONAL DE FISCALIZACION LABORAL - SUNAFIL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-215,1,"S/. 4,000.00",31/10/2024,14/11/2024,f508ba77-8fc5-4af3-a890-541ca16d1927
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,ANCASH - NUEVO CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-038,1,"S/. 2,572.00",31/10/2024,14/11/2024,2373de35-a195-42fd-938b-5809808dd6ff
COORDINADOR DE ENLACE REGIONAL EN ANCASH,"CENTRO NACIONAL DE ESTIMACION, PREVENCION Y REDUCCION DEL RIESGO DE DESASTRES (CENEPRED)",ANCASH - HUARAZ,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-108,1,"S/. 8,000.00",31/10/2024,14/11/2024,a7b6066f-6480-471c-8236-e4c803c57a8f
RESGUARDO CUSTODIA Y VIGILANCIA,PODER JUDICIAL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-039,2,"S/. 1,300.00",31/10/2024,14/11/2024,24769db3-761d-4028-88fa-4f7b1ae0c265
ASISTENTE DE COMUNICACIONES,PODER JUDICIAL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-038,1,"S/. 2,212.00",31/10/2024,14/11/2024,b44049ef-39ce-472e-a710-7f41fcda1e03
ASISTENTE JURISDICCIONAL,PODER JUDICIAL,ANCASH - NUEVO CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-038,2,"S/. 2,572.00",31/10/2024,14/11/2024,ecb36eb8-26e5-4d81-9bb6-e261f82a3c0b
CONDUCCION DE VEHICULO,PODER JUDICIAL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-039,2,"S/. 1,300.00",31/10/2024,14/11/2024,e03bbf15-286d-4422-976f-9470e590a7ad
TRABAJADOR DE SERVICIO,UGEL - PALLASCA,ANCASH - TAUCA,276-003,1,"S/. 1,167.03",30/10/2024,13/11/2024,89164db9-cf83-465f-97ad-f3cf4c6ec6ac
CONCILIADOR EXTRAJUDICIAL PARA LA DIRECCION DE CONCILIACION EXTRAJUDICIAL Y MECANISMOS ALTERNATIVOS DE SOLUCION DE CONFLICTOS DE LA DIRECCION GENERAL DE DEFENSA PUBLICA Y ACCESO A LA JUSTICIA (ANCASH),MINISTERIO DE JUSTICIA Y DERECHOS HUMANOS,ANCASH - YUNGAY,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-931,1,"S/. 7,114.19",30/10/2024,13/11/2024,4c41622b-d9ad-4866-a693-ec232fb38c59
ASISTENTE DE INFORMÁTICA,PODER JUDICIAL,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (SUPLENCIA)-040,1,"S/. 2,772.00",30/10/2024,13/11/2024,f33d8df2-4335-4b92-9a03-ab119233a553
ENFERMERO/A,UNIDAD EJECUTORA 404 SALUD LA CALETA,ANCASH - CHIMBOTE,D.LEG 1057 - DETERMINADO (NECESIDAD TRANSITORIA)-02,1,"S/. 2,900.00",30/10/2024,13/11/2024,5cf42bfc-b7d0-4a41-8705-3e7ed88c4ebf
