dep,last_date,path_data,n_jobs,n_jobs_text,time,id_uuid
amazonas,24-09-2024,/data/amazonas/24-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,e4896d8f-ead5-459a-ab7d-55869bb56f47
ancash,24-09-2024,/data/ancash/24-09-2024.csv,79,79 puesto(s) encontrado(s) en total.,,8b0daf92-a0ff-4064-8c82-ced0581e046a
junin,24-09-2024,/data/junin/24-09-2024.csv,250,250 puesto(s) encontrado(s) en total.,,6400651a-0c83-4d63-b33c-f69249f0dcaa
apurimac,24-09-2024,/data/apurimac/24-09-2024.csv,113,113 puesto(s) encontrado(s) en total.,,ce99ca59-65d0-42de-8fff-2e0359a9176d
la_libertad,24-09-2024,/data/la_libertad/24-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,a4592c18-527a-4e03-9bbd-9bd323e8e754
arequipa,24-09-2024,/data/arequipa/24-09-2024.csv,210,210 puesto(s) encontrado(s) en total.,,1bec9c41-18dd-4ca4-a61c-7d0015f59b76
lambayeque,24-09-2024,/data/lambayeque/24-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,38eb2661-14a9-4da8-a371-1f0607926a64
ayacucho,24-09-2024,/data/ayacucho/24-09-2024.csv,85,85 puesto(s) encontrado(s) en total.,,bf43528a-3b6c-4faf-bc7d-7857119ba0bb
cajamarca,24-09-2024,/data/cajamarca/24-09-2024.csv,186,186 puesto(s) encontrado(s) en total.,,04f77b05-7e7d-4385-9dd0-2dc256ebdde3
callao,24-09-2024,/data/callao/24-09-2024.csv,64,64 puesto(s) encontrado(s) en total.,,bfa82b80-8485-43bf-b49a-657768557c2b
cusco,24-09-2024,/data/cusco/24-09-2024.csv,276,276 puesto(s) encontrado(s) en total.,,6d3d2823-227f-4564-900f-ebfde4432ae9
huancavelica,24-09-2024,/data/huancavelica/24-09-2024.csv,111,111 puesto(s) encontrado(s) en total.,,9daf42bd-f43f-4d6d-8348-cbeff9f156ed
huanuco,24-09-2024,/data/huanuco/24-09-2024.csv,163,163 puesto(s) encontrado(s) en total.,,09944a11-4112-4252-88fb-5c6e61c1f3ab
ica,24-09-2024,/data/ica/24-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,e6147665-ab6d-4a3f-9b7a-337a3fff1576
lima,24-09-2024,/data/lima/24-09-2024.csv,1274,1274 puesto(s) encontrado(s) en total.,,0f3788e3-a708-4443-b3df-7343a11154e8
loreto,24-09-2024,/data/loreto/24-09-2024.csv,62,62 puesto(s) encontrado(s) en total.,,4dee4d67-1803-4b20-9754-edb07bc5a46a
madre_de_dios,24-09-2024,/data/madre_de_dios/24-09-2024.csv,28,28 puesto(s) encontrado(s) en total.,,6faffa1a-4b79-499d-8baf-8dcad8ce13b9
moquegua,24-09-2024,/data/moquegua/24-09-2024.csv,33,33 puesto(s) encontrado(s) en total.,,6373ec64-672c-496c-890e-dabb60b652c7
junin,24-09-2024,/data/junin/24-09-2024.csv,250,250 puesto(s) encontrado(s) en total.,,b088dbec-7c4e-44a0-9fbc-d418e5bd3181
pasco,24-09-2024,/data/pasco/24-09-2024.csv,64,64 puesto(s) encontrado(s) en total.,,c8495e9b-8dd4-4f44-ba14-1734fe2e11c2
piura,24-09-2024,/data/piura/24-09-2024.csv,44,44 puesto(s) encontrado(s) en total.,,88be06aa-3d8a-45f6-b4d3-fd454e80e05c
puno,24-09-2024,/data/puno/24-09-2024.csv,153,153 puesto(s) encontrado(s) en total.,,24c065fc-7b53-47a2-9d4f-8944ddaee734
san_martin,24-09-2024,/data/san_martin/24-09-2024.csv,35,35 puesto(s) encontrado(s) en total.,,132061de-23e6-4f45-abbd-66f22b61718b
tacna,24-09-2024,/data/tacna/24-09-2024.csv,66,66 puesto(s) encontrado(s) en total.,,668aed28-4d2b-4c51-a222-d1739cf53b4c
tumbes,24-09-2024,/data/tumbes/24-09-2024.csv,23,23 puesto(s) encontrado(s) en total.,,f437cae4-b251-457f-a093-d70368afdf59
ucayali,24-09-2024,/data/ucayali/24-09-2024.csv,171,171 puesto(s) encontrado(s) en total.,,87432229-eb57-4b67-bcb7-7116908d53c4
amazonas,25-09-2024,/data/amazonas/25-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,3e90cf47-6455-4164-9886-1bde24bee27d
ancash,25-09-2024,/data/ancash/25-09-2024.csv,79,79 puesto(s) encontrado(s) en total.,,83b230d1-827f-4e40-9320-e0d0967573a5
apurimac,25-09-2024,/data/apurimac/25-09-2024.csv,120,120 puesto(s) encontrado(s) en total.,,5b6af86e-54c1-49fd-9082-9b4dddd6c22d
junin,25-09-2024,/data/junin/25-09-2024.csv,240,240 puesto(s) encontrado(s) en total.,,6a3863f4-5ca0-49b2-a5b2-c746c0f7ffb2
arequipa,25-09-2024,/data/arequipa/25-09-2024.csv,205,205 puesto(s) encontrado(s) en total.,,4e96a784-c5df-4de6-a1ef-982f9fa1135a
la_libertad,25-09-2024,/data/la_libertad/25-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,5ea90f99-e9ab-4293-a672-817715d9943e
lambayeque,25-09-2024,/data/lambayeque/25-09-2024.csv,53,53 puesto(s) encontrado(s) en total.,,43345078-7efd-4e48-b906-ccf008ab8498
ayacucho,25-09-2024,/data/ayacucho/25-09-2024.csv,81,81 puesto(s) encontrado(s) en total.,,b2097d2d-f418-4c88-93a9-bab34c592efa
loreto,25-09-2024,/data/loreto/25-09-2024.csv,67,67 puesto(s) encontrado(s) en total.,,79d403d4-0722-4664-9197-f4ea5f2ad6ad
cajamarca,25-09-2024,/data/cajamarca/25-09-2024.csv,167,167 puesto(s) encontrado(s) en total.,,ee3f1b7e-cdbf-457f-b52b-1c3de7b8ba9f
madre_de_dios,25-09-2024,/data/madre_de_dios/25-09-2024.csv,25,25 puesto(s) encontrado(s) en total.,,866cb185-1d82-441b-a61c-26d532fe0e70
moquegua,25-09-2024,/data/moquegua/25-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,24b559d1-b6aa-4758-ac78-881e01c3be12
callao,25-09-2024,/data/callao/25-09-2024.csv,57,57 puesto(s) encontrado(s) en total.,,4b04f8b8-f2f6-4739-900e-4a80b72f37a4
pasco,25-09-2024,/data/pasco/25-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,1fb67b36-6fb3-4ac1-8fc8-067eabf2fda5
piura,25-09-2024,/data/piura/25-09-2024.csv,41,41 puesto(s) encontrado(s) en total.,,157ba03f-44bf-4849-b743-a4c54456822f
cusco,25-09-2024,/data/cusco/25-09-2024.csv,224,224 puesto(s) encontrado(s) en total.,,473d9034-eaff-4415-aa7d-f653aa043515
puno,25-09-2024,/data/puno/25-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,6eceb9d1-3d08-4fcc-aef4-fe2e9f1b3e48
san_martin,25-09-2024,/data/san_martin/25-09-2024.csv,55,55 puesto(s) encontrado(s) en total.,,9aa1acf3-3ae7-43e3-8c0d-2469fe00c9bb
lima,25-09-2024,/data/lima/25-09-2024.csv,1326,1326 puesto(s) encontrado(s) en total.,,7b362e15-ec5c-466b-8aef-222997bb2ac7
tacna,25-09-2024,/data/tacna/25-09-2024.csv,65,65 puesto(s) encontrado(s) en total.,,42242de1-b89c-4eb9-b4c3-0b16835c2a01
tumbes,25-09-2024,/data/tumbes/25-09-2024.csv,20,20 puesto(s) encontrado(s) en total.,,caf784f1-8755-4070-b710-08eb0df73695
huancavelica,25-09-2024,/data/huancavelica/25-09-2024.csv,115,115 puesto(s) encontrado(s) en total.,,c16292ea-af67-4d86-9e01-43e350095434
huanuco,25-09-2024,/data/huanuco/25-09-2024.csv,135,135 puesto(s) encontrado(s) en total.,,2d600fb5-6fdf-4910-a6a7-4e7d140364d9
ica,25-09-2024,/data/ica/25-09-2024.csv,36,36 puesto(s) encontrado(s) en total.,,d6930265-d217-4d5e-9e74-9c3fbee50166
ucayali,25-09-2024,/data/ucayali/25-09-2024.csv,183,183 puesto(s) encontrado(s) en total.,,952bd6e1-241e-443f-b1b7-1a18896b8dc1
junin,25-09-2024,/data/junin/25-09-2024.csv,240,240 puesto(s) encontrado(s) en total.,,53e1623c-bcbc-43ab-ac03-c814844e7f8f
amazonas,26-09-2024,/data/amazonas/26-09-2024.csv,47,47 puesto(s) encontrado(s) en total.,,f3193e28-b7a9-4975-a8bb-124919b88c56
ancash,26-09-2024,/data/ancash/26-09-2024.csv,44,44 puesto(s) encontrado(s) en total.,,e0cddf9b-2185-4003-8065-c66806714216
apurimac,26-09-2024,/data/apurimac/26-09-2024.csv,111,111 puesto(s) encontrado(s) en total.,,0ab034f4-1a3f-41c9-b5c5-90a78c4fe50a
junin,26-09-2024,/data/junin/26-09-2024.csv,245,245 puesto(s) encontrado(s) en total.,,8fcebbe8-a323-4c60-8719-7141bf38c933
arequipa,26-09-2024,/data/arequipa/26-09-2024.csv,206,206 puesto(s) encontrado(s) en total.,,2158e960-12d2-43a7-88ff-a131f7386b24
la_libertad,26-09-2024,/data/la_libertad/26-09-2024.csv,234,234 puesto(s) encontrado(s) en total.,,b3fc7c05-aba0-440a-bec3-74682acf05ea
ayacucho,26-09-2024,/data/ayacucho/26-09-2024.csv,62,62 puesto(s) encontrado(s) en total.,,380c262f-c806-4359-9f9c-18e36840cda3
lambayeque,26-09-2024,/data/lambayeque/26-09-2024.csv,53,53 puesto(s) encontrado(s) en total.,,e1c2217c-bc90-4fb5-9365-ddbb434087c8
loreto,26-09-2024,/data/loreto/26-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,45cefca6-ddf4-4ed7-8529-f4546fb320c5
madre_de_dios,26-09-2024,/data/madre_de_dios/26-09-2024.csv,17,17 puesto(s) encontrado(s) en total.,,d02d5af9-b856-4ee9-855e-315ecc23648c
cajamarca,26-09-2024,/data/cajamarca/26-09-2024.csv,152,152 puesto(s) encontrado(s) en total.,,462bd55d-d74b-4299-b9fe-8331932673ad
moquegua,26-09-2024,/data/moquegua/26-09-2024.csv,27,27 puesto(s) encontrado(s) en total.,,05944ffc-1443-4087-b3f2-ad368ec7d8dd
callao,26-09-2024,/data/callao/26-09-2024.csv,43,43 puesto(s) encontrado(s) en total.,,418d9c63-b5d8-4f0c-a4e9-8c34a20b31d9
pasco,26-09-2024,/data/pasco/26-09-2024.csv,52,52 puesto(s) encontrado(s) en total.,,0e7972fc-dbcd-42e1-b7f6-71d3d64fc72d
piura,26-09-2024,/data/piura/26-09-2024.csv,56,56 puesto(s) encontrado(s) en total.,,d10f8bad-19b8-497d-8192-809c66b60556
cusco,26-09-2024,/data/cusco/26-09-2024.csv,204,204 puesto(s) encontrado(s) en total.,,5a2c7609-efa9-450a-b6e3-0eb495a01d47
puno,26-09-2024,/data/puno/26-09-2024.csv,177,177 puesto(s) encontrado(s) en total.,,f028d19e-9393-4635-bbdb-b63e1b594c40
huancavelica,26-09-2024,/data/huancavelica/26-09-2024.csv,118,118 puesto(s) encontrado(s) en total.,,e6385d75-83eb-49bf-a388-d561907ed00a
san_martin,26-09-2024,/data/san_martin/26-09-2024.csv,54,54 puesto(s) encontrado(s) en total.,,2f95e25f-15c7-497a-ab62-c30633f3a879
tacna,26-09-2024,/data/tacna/26-09-2024.csv,58,58 puesto(s) encontrado(s) en total.,,c6b9e33f-315c-44f3-9fdf-c49398fe4cc1
lima,26-09-2024,/data/lima/26-09-2024.csv,1223,1223 puesto(s) encontrado(s) en total.,,fef0241f-07ad-434f-be77-5a9a9f431079
tumbes,26-09-2024,/data/tumbes/26-09-2024.csv,11,11 puesto(s) encontrado(s) en total.,,d66acf9b-14ba-4773-8bc0-58c5a69afb9c
huanuco,26-09-2024,/data/huanuco/26-09-2024.csv,138,138 puesto(s) encontrado(s) en total.,,1aaf6b2a-2c18-4026-80c2-49dcd23e1c5d
ica,26-09-2024,/data/ica/26-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,4032cb5d-05a9-4b1d-8b2a-46074162b929
ucayali,26-09-2024,/data/ucayali/26-09-2024.csv,149,149 puesto(s) encontrado(s) en total.,,869df85c-25f5-456f-8082-740ad892fb7a
junin,26-09-2024,/data/junin/26-09-2024.csv,245,245 puesto(s) encontrado(s) en total.,,059ca4e7-03ed-472c-baea-fe9dfa4a164e
amazonas,28-09-2024,/data/amazonas/28-09-2024.csv,36,36 puesto(s) encontrado(s) en total.,,9d76de66-e678-4de4-ae6e-61899071d1e2
ancash,28-09-2024,/data/ancash/28-09-2024.csv,38,38 puesto(s) encontrado(s) en total.,,24ed0eb0-64de-433b-abcd-0d50aad4d804
apurimac,28-09-2024,/data/apurimac/28-09-2024.csv,100,100 puesto(s) encontrado(s) en total.,,f17bcd52-4fe3-46c0-ac6a-3a744a8dd77a
junin,28-09-2024,/data/junin/28-09-2024.csv,202,202 puesto(s) encontrado(s) en total.,,b42611da-31a0-42d7-b88d-959f31298e4a
arequipa,28-09-2024,/data/arequipa/28-09-2024.csv,84,84 puesto(s) encontrado(s) en total.,,6932f882-86e0-464d-b4d8-e073558b579a
ayacucho,28-09-2024,/data/ayacucho/28-09-2024.csv,34,34 puesto(s) encontrado(s) en total.,,e62c6d54-fd82-4a4b-b0d5-5208a35dd6e0
